Quarter,Campus,Item,Course.ID,Title,CREDIT,TYPE.days,Time,Room,Instructor,Enrolled,divider,classCap,Wait.List,FTES.TOTAL,FTES.STATE,Clustered,Type
Fall 2012,South,2150,ABR 131  01,UNDERSTAND AUTO FINISHES,2,DAILY,7:00 AM,ABR0101,"Ford, S. ",2,/,20,0,0.3,0.3,,
Fall 2012,South,2151,ABR 132  01,PREP SURFACE FOR REFINSH,6,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,20,0,0.4,0.4,,
Fall 2012,South,2152,ABR 133  01,PREP EQUIP/PAINT/MATERIL,5,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,20,0,0.3,0.3,,
Fall 2012,South,2153,ABR 134  01,DETAILING,1,DAILY,7:00 AM,ABR0101,"Ford, S. ",1,/,20,0,0.1,0.1,,
Fall 2012,South,2197,ABR 197  DKP,INDUSTRY INTERNSHIP ITEC,5,Arr,AR:R M,TBA,"Park, D. ",1,/,1,0,0.1,0.1,,
Fall 2012,South,2300,MVM 100  01,INTRO TO AUTOMOTIVE I,4,DAILY,7:00 AM,AUT0129,Amesquita ,5,/,20,0,1.3,1.3,2300B232,
Fall 2012,South,2301,MVM 102  01,INTRO TO AUTOMOTIVE II,4,DAILY,7:00 AM,AUT0129,Amesquita ,5,/,20,0,1.3,1.3,2300B232,
Fall 2012,South,2302,AUT 100  01,INTRO TO ELECTRICITY,4,DAILY,7:00 AM,AUT0129,Amesquita ,5,/,20,0,1.3,1.3,2300B232,
Fall 2012,South,2303,MVM 102  IBS,INTRO TO AUTOMOTIVE II,4,DAILY,7:00 AM,AUT0129,Amesquita ,16,/,20,0,7.5,7.5,2300B232,
Fall 2012,South,2304,MVM 100  IBS,INTRO TO AUTOMOTIVE I,4,DAILY,7:00 AM,AUT0129,Amesquita ,16,/,20,0,7.5,7.5,2300B232,
Fall 2012,South,2305,AUT 100  IBS,INTRO TO ELECTRICITY,4,DAILY,7:00 AM,AUT0129,Amesquita ,16,/,20,0,7.5,7,2300B232,
Fall 2012,South,2306,AUT 134  IBS,INTRO TO DRIVEABILITY,3,DAILY,7:00 AM,AUT0129,Amesquita ,16,/,20,0,5.7,5.3,2300B232,
Fall 2012,South,2310,AUT 102  01,ADV ELECTRICAL SYSTEMS,4,DAILY,7:00 AM,AUT0106,"Andersen, H ",21,/,20,0,5.6,5.6,2310B232,
Fall 2012,South,2311,AUT 104  01,AUTOMOTIVE ELECTRONICS,3,DAILY,7:00 AM,AUT0106,"Andersen, H ",21,/,20,0,4.2,4.2,2310B232,
Fall 2012,South,2312,AUT 106  01,BASIC POWER ACCESSORIES,3,DAILY,7:00 AM,AUT0106,"Andersen, H ",21,/,20,0,4.2,4.2,2310B232,
Fall 2012,South,2313,AUT 112  01,MANUAL TRANSAXLES CLUTCH,3,DAILY,7:00 AM,AUT0128,Hughes ,22,/,20,0,4.4,4.4,2340B232,
Fall 2012,South,2314,AUT 114  01,"MAN TRANSMISSIONS, TRANS",3,DAILY,7:00 AM,AUT0128,Hughes ,22,/,20,0,4.4,4.4,2340B232,
Fall 2012,South,2315,AUT 118  01,"AUTO TRANS, DIAGNO & SVC",4,DAILY,7:00 AM,AUT0128,Hughes ,22,/,20,0,5.9,5.9,2340B232,
Fall 2012,South,2316,AUT 120  01,ADV AUTO TRANS SERVICE,6,DAILY,7:00 AM,AUT0128,Hughes ,22,/,20,0,8.8,8.8,2340B232,
Fall 2012,South,2317,AUT 116  01,AIR CONDITIONING & HEAT,6,DAILY,7:00 AM,AUT0106,"Andersen, H ",21,/,20,0,8.4,8.4,2310B232,
Fall 2012,South,2320,AUT 122  01,STEERING & SUSPENSION,4,DAILY,12:30 PM,AUT0129,Hughes ,13,/,20,0,3.5,3.5,2320B232,
Fall 2012,South,2321,AUT 124  01,TIRES & WHEEL ALIGNMENT,4,DAILY,12:30 PM,AUT0129,Hughes ,13,/,20,0,3.5,3.5,2320B232,
Fall 2012,South,2322,AUT 126  01,BASIC BRAKE SYSTEMS,3,DAILY,12:30 PM,AUT0129,Amesquita ,13,/,20,0,2.6,2.6,2320B232,
Fall 2012,South,2323,AUT 127  01,ADVANCED BRAKE SYSTEMS,4,DAILY,12:30 PM,AUT0129,Amesquita ,13,/,20,0,3.5,3.5,2320B232,
Fall 2012,South,2333,AUT 134  01,INTRO TO DRIVEABILITY,3,DAILY,7:00 AM,AUT0129,Amesquita ,5,/,20,0,1,1,2300B232,
Fall 2012,South,2350,AUT 299  01,SPEC TOPICS:AUTOMOTIVE,18,Arr,AR:R M,TBA,Hughes ,4,/,5,0,1,1,,
Fall 2012,South,2360,AUT 299  01,SPEC TOPICS:AUTOMOTIVE,18,Arr,AR:R M,TBA,"Andersen, H ",1,/,5,0,0.1,0.1,,
Fall 2012,South,2700,HDM 102  01,"ELECTRICAL-ELECTRONICS,B",6,DAILY,7:00 AM,HDM0204,Clapper ,19,/,20,0,7.6,7.6,,
Fall 2012,South,2705,HDM 104  01,"BATTERIES, GENS & ALTER",6,DAILY,7:00 AM,HDM0204,Clapper ,19,/,20,0,7.6,7.6,,
Fall 2012,South,2710,HDM 106  01,CRANKING/LIGHTING SYSTEM,5,DAILY,7:00 AM,HDM0204,Clapper ,19,/,20,0,6.3,6.3,,
Fall 2012,South,2715,HDM 128  01,BASIC GASOLINE ENGINES,4,DAILY,7:00 AM,TEC0106,"Ruiz, J. ",18,/,20,0,4.8,4.8,,
Fall 2012,South,2720,HDM 101  01,INTRO TO HEAVY DUTY,3,DAILY,7:00 AM,TEC0106,"Ruiz, J. ",18,/,20,0,3.6,3.6,,
Fall 2012,South,2725,HDM 113  01,BASIC WELDING & CUTTING,6,DAILY,7:00 AM,TEC0106,"Ruiz, J. ",18,/,20,0,7.2,7.2,,
